date,compScore
03-12-2017-19:24, 1283
03-12-2017-19:38, 1283
03-12-2017-19:49, 1323
03-12-2017-20:02, 1358
03-12-2017-20:06, 1358
03-12-2017-20:36, 1343
03-13-2017-00:37, 1328
03-14-2017-16:52, 1359
03-14-2017-17:05, 1389
03-14-2017-17:31, 1426
03-14-2017-17:53, 1426
03-14-2017-19:38, 1472
03-14-2017-21:07, 1516
03-15-2017-10:39, 1578
03-15-2017-18:00, 1559
03-15-2017-18:19, 1593
03-15-2017-18:35, 1575
03-15-2017-18:58, 1575
03-15-2017-19:19, 1551
03-16-2017-18:26, 1526
03-20-2017-17:04, 1525
03-20-2017-17:19, 1552
03-20-2017-17:39, 1584
03-20-2017-18:05, 1565
03-20-2017-18:30, 1593
03-20-2017-18:46, 1619
03-20-2017-19:03, 1647
03-20-2017-19:27, 1685
03-20-2017-19:53, 1661
03-20-2017-20:06, 1686
03-20-2017-20:23, 1713
03-20-2017-20:43, 1699
03-20-2017-21:13, 1710
03-21-2017-18:37, 1689
03-21-2017-19:07, 1667
03-21-2017-19:19, 1637
03-22-2017-17:30, 1661
03-22-2017-17:47, 1637
03-22-2017-18:19, 1617
03-22-2017-18:38, 1640
03-22-2017-18:52, 1616
03-23-2017-19:03, 1598
03-23-2017-20:42, 1620
03-23-2017-21:05, 1598
03-24-2017-12:44, 1580
03-24-2017-14:15, 1607
